time	V(vc_vo)
6.728068732339931e-002	1.662362e+001
6.736068732339934e-002	1.528688e+001
6.744068732339936e-002	1.380944e+001
6.752068732339939e-002	1.225899e+001
6.760068732339941e-002	1.071201e+001
6.768068732339944e-002	9.251525e+000
6.776068732339946e-002	7.964059e+000
6.784068732339948e-002	6.935772e+000
6.792068732339951e-002	6.247903e+000
6.800068732339953e-002	5.971822e+000
6.808068732339956e-002	6.164201e+000
6.816068732339958e-002	6.862596e+000
6.824068732339961e-002	8.081506e+000
6.832068732339963e-002	9.808439e+000
6.840068732339966e-002	1.199746e+001
6.848068732339968e-002	1.454869e+001
6.856068732339971e-002	1.714741e+001
6.861896243294252e-002	1.862950e+001
